Date,Open,High,Low,Close,Adj Close,Volume
03-06-2010,157.899994,165.5,156.5,164.449997,161.541946,8240017
04-06-2010,163,169.399994,159.050003,168.149994,165.176514,6456316
07-06-2010,179,179,165,175.899994,172.789459,11149268
08-06-2010,178.5,179,166.800003,167.649994,164.685349,7018508
09-06-2010,167,172.350006,165.25,169.949997,166.944672,5561330
10-06-2010,170.5,175.399994,169.149994,174.149994,171.070419,3093876
11-06-2010,177,177.699997,171.550003,172.600006,169.547836,3038466
14-06-2010,175,179.850006,173.199997,179,175.834656,3217940
15-06-2010,188.300003,188.300003,182,186.649994,183.34938,5146247
16-06-2010,187,194.449997,183.199997,187.050003,183.74231,9085381
17-06-2010,187.399994,192.949997,186.5,191.350006,187.966263,6093385
18-06-2010,193.149994,196.449997,183.5,184.5,181.237396,7662556
21-06-2010,186,189.5,184.350006,186.649994,183.34938,2522705
22-06-2010,187,190.350006,184.5,186,182.710876,2478722
23-06-2010,184.899994,189.649994,184.199997,187.550003,184.233459,2749129
24-06-2010,188.5,189.899994,184.5,188.100006,184.773743,2145456
25-06-2010,188.199997,194.899994,186.550003,192.5,189.095932,4671270
28-06-2010,197.899994,204.75,197.300003,201.449997,197.887665,6828652
29-06-2010,203.5,203.699997,192.75,193.75,190.323822,3351456
30-06-2010,190.100006,199.5,190,198.300003,194.793381,3350157
01-07-2010,196.800003,197,191.550003,192.300003,188.899475,1966169
02-07-2010,194,196,190,191.100006,187.720688,2330659
05-07-2010,191.149994,192.699997,185.100006,185.600006,182.317947,1149198
06-07-2010,185.899994,186.899994,181.050003,182.25,179.027191,1939666
07-07-2010,182.25,187.850006,180.949997,185.149994,181.87587,2290821
08-07-2010,188.800003,189.699997,185.899994,187.949997,184.626373,2277658
09-07-2010,190.100006,195.25,189.5,193.25,189.832657,3701343
12-07-2010,194.899994,195.399994,190,190.600006,187.229538,1652789
13-07-2010,190.800003,191.100006,188,188.899994,185.559601,927045
14-07-2010,190.800003,191.350006,185.600006,186.399994,183.10379,1244291
15-07-2010,186,186.5,183.100006,183.550003,180.304199,780101
16-07-2010,182.399994,187.800003,181.5,187.100006,183.791412,1430309
19-07-2010,186,194.449997,186,191.25,187.868027,1838284
20-07-2010,194.25,194.25,187.25,188.350006,185.019333,1857994
21-07-2010,189.350006,189.850006,187.5,188.050003,184.724609,606935
22-07-2010,187,190.399994,185.149994,189.899994,186.541885,1262717
23-07-2010,190.5,192,187.149994,188.5,185.166672,1374573
26-07-2010,189.699997,190.399994,186.550003,188.050003,184.724609,680771
27-07-2010,189,189.899994,186.800003,187.399994,184.08609,472144
28-07-2010,188.699997,188.949997,184.800003,185.550003,182.268814,436022
29-07-2010,185,185.550003,181.149994,181.649994,178.43779,555277
30-07-2010,181,183.300003,177.600006,178.449997,175.294388,1063949
02-08-2010,180.899994,181.449997,178.100006,178.550003,175.392624,594769
03-08-2010,179.399994,179.850006,173.300003,174.449997,171.365112,1353140
04-08-2010,174.100006,178.699997,174,176.649994,173.526215,1111339
05-08-2010,175,177.5,172.5,173.100006,170.038986,656220
06-08-2010,173.100006,175,172.5,172.850006,169.793411,573938
09-08-2010,173.75,177.649994,172.649994,177.100006,173.968262,802681
10-08-2010,178,179,173.649994,174.949997,171.856262,565652
11-08-2010,175,177.25,172.5,173.100006,170.038986,628064
12-08-2010,172,174.25,171.75,173.199997,170.137207,347479
13-08-2010,172,173,167.149994,168.100006,165.127411,1520646
16-08-2010,166.949997,166.949997,160.300003,163.5,160.608734,1701762
17-08-2010,164.399994,166.5,162.699997,165.949997,163.015411,861275
18-08-2010,167,167,162.800003,164.050003,161.149033,418981
19-08-2010,165.050003,165.75,163.100006,163.649994,160.756088,449313
20-08-2010,163,164.399994,162,162.850006,159.970245,496838
23-08-2010,163.899994,165.25,163.149994,164,161.099915,451222
24-08-2010,164.399994,167.699997,163.449997,166,163.064529,792469
25-08-2010,167,167.350006,163.149994,163.75,160.85434,448704
26-08-2010,164.699997,164.699997,159.100006,159.899994,157.072403,612831
27-08-2010,161.050003,163.149994,159.899994,160.550003,157.710907,647733
30-08-2010,162,163.5,161.100006,161.850006,158.987946,535445
31-08-2010,161.100006,162,155,156,153.241364,813974
01-09-2010,157.100006,164.800003,157,163.699997,160.805206,979131
02-09-2010,165.199997,166.149994,161.300003,162.699997,159.822906,667153
03-09-2010,164,164.75,161.600006,163.399994,160.510498,513415
06-09-2010,163.100006,167.800003,160.5,162.899994,160.019363,1896083
07-09-2010,166.399994,169.899994,161.300003,163.100006,160.21582,739160
08-09-2010,161.25,165.300003,161.25,164.699997,161.787521,860059
09-09-2010,165.5,166,162.800003,163.600006,160.70697,493671
13-09-2010,164.5,164.600006,162.100006,162.899994,160.855087,627166
14-09-2010,162.5,164.899994,161.600006,162.550003,160.509491,1009907
15-09-2010,162.449997,164.449997,161.5,162,159.9664,985908
16-09-2010,162,163.399994,157.699997,158.100006,156.115356,885845
17-09-2010,158.25,168.699997,158.25,166.449997,164.360535,1731087
20-09-2010,167,175.75,167,175,172.803207,2124295
21-09-2010,176,177.75,171.350006,173.199997,171.025803,1299534
22-09-2010,174,174.800003,167.800003,169.600006,167.471008,712382
23-09-2010,169,170.699997,165.350006,167.75,165.644226,473972
24-09-2010,169,172.649994,168.149994,169.600006,167.471008,1099914
27-09-2010,170,171.899994,169,169.600006,167.471008,777846
28-09-2010,170.800003,174.649994,169.600006,170.300003,168.162216,1728310
29-09-2010,172.5,172.75,168.5,169.699997,167.569733,625281
30-09-2010,169,170.899994,166.800003,168.25,166.137939,406649
